公司名称,职位名称,薪酬,城市地区,经验要求,学历要求,公司名称.1,规模类型,公司标签,地区,薪酬_n,月薪最小值,月薪最大值
全成信电子（深圳）股份有限公司,全盘会计/总账会计,8千-1万,深圳·宝安区,1年,大专,五险一金,外资（非欧美）  |  1000-5000人,电子技术/半导体/集成电路,深圳,8000-10000,8000,10000
陕西远光高科技有限公司,成本会计,4-5千,西安·鄠邑区,3-4年,中技/中专,"成本会计
专业培训
免费班车
提供住宿
绩效奖金
年终奖金
五险一金
弹性工作",民营  |  150-500人,医疗设备/器械,西安,4000-5000,4000,5000
珠海天威飞马打印耗材有限公司,销售会计（应收应付）,4.5-5.8千,珠海,3-4年,大专,"会计助理
总账会计
销售会计
五险一金
免费班车
专业培训
弹性工作
年终奖金
提供饭堂
提供宿舍
周末双休",外资（非欧美）  |  500-1000人,办公用品及设备,珠海,4500-5800,4500,5800
上海能亮贸易有限公司,财务主管、会计,8千-1万,上海·宝山区,3-4年,本科,"财务
会计
周末双休
五险一金
包住宿
绩效奖金
高温补贴
节日福利
员工旅游
年终奖金
定期体检",民营  |  50-150人,医疗设备/器械,上海,8000-10000,8000,10000
?广东佳测环境检测科技有限公司,会计主管,8千-1.1万,佛山·三水区,5-7年,大专,"会计
审计
会计主管
包吃
购买社保
节日福利
定期团建
餐补
油费补贴",民营  |  50-150人,环保,佛山,8000-11000,8000,11000
合翔保险经纪有限公司云南分公司,财务/会计,5千-1万,昆明·盘龙区,2年,大专,"会计
周末双休
弹性工作
绩效奖金
五险",民营  |  150-500人,保险,昆明,5000-10000,5000,10000
深圳市万股成科技有限公司,生产会计,6-9千,深圳·龙华区,3-4年,中技/中专,"成本核算
财务软件
金蝶
财务会计
五险一金
绩效奖金
通讯补贴",民营  |  少于50人,电子技术/半导体/集成电路,深圳,6000-9000,6000,9000
云南中鸿税务师事务所有限责任公司,注册会计师,1-1.5万·13薪,昆明·官渡区,3-4年,本科,"审计
内控
五险一金
通讯补贴
年终奖金
绩效奖金
专业培训
定期体检",民营  |  150-500人,专业服务(咨询、人力资源、财会),昆明,10000-15000,10000,15000
深圳市斯迈得半导体有限公司,应收/应付会计,6-8千,深圳·宝安区,3-4年,大专,"财务
总账会计
会计
应收
应付
应收应付
员工旅游
绩效奖金
专业培训
餐饮补贴
定期体检
补充公积金
补充医疗保险
五险一金",已上市  |  1000-5000人,电子技术/半导体/集成电路,深圳,6000-8000,6000,8000
上海浦发综合养护（集团）有限公司,总账会计,1.2-1.5万,上海·浦东新区,3-4年,本科,"五险一金
定期体检
高温费
补充公积金
交通补贴
通讯补贴
年终奖金
绩效奖金",国企  |  500-1000人,政府/公共事业,上海,12000-15000,12000,15000
广西揽胜企业管理服务集团有限公司,会计,3.5-4.5千,南宁·西乡塘区,2年,本科,"会计
审计
五险一金
专业培训
年终奖金
周末双休
法定节日放假",民营  |  150-500人,专业服务(咨询、人力资源、财会),南宁,3500-4500,3500,4500
山东兆通微电子有限公司,会计,6-8千·13薪,济南·历城区,3-4年,本科,"会计
员工旅游
绩效奖金
股票期权
弹性工作
定期体检
五险一金",民营  |  50-150人,电子技术/半导体/集成电路,济南,6000-8000,6000,8000
河南金汇不锈钢产业集团有限公司,财务会计专员,3.3-4.5千,许昌,3-4年,大专,"通讯补贴
年终奖金
餐饮补贴",民营  |  1000-5000人,原材料和加工,许昌,3300-4500,3300,4500
