职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,,规模类型,地区,*n薪,薪酬_n,月薪最小值,月薪最大值
营销推广经理,佛山市沙田荟物业发展有限公司,8千-1.1万,佛山·南海区,本科,5-7年,"购买社保
提供餐饮
员工生日会
有薪年假",物业管理/商业中心,,,民营  |  50-150人,,,,,
主动营销经理-华东区,喜临门家具股份有限公司,1-1.5万,绍兴·越城区,大专,2年,"培训
零售
数字营销
促销活动策划
社区营销
家具家电建材
五险一金
餐饮补贴
通讯补贴
交通补贴
绩效奖金
专业培训
定期体检",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
湖南分公司-财富管理部营销总监/团队负责人(J10194),申港证券股份有限公司,8千-1.6万,长沙,本科,5-7年,"证券
营销管理
领导好
扁平管理",金融/投资/证券,,,合资  |  150-500人,,,,,
营销推广（南京）,深圳市全景网络有限公司,1-1.5万,南京·江宁区,本科,3-4年,"财经
证券
补充医疗保险
专业培训
五险一金
通讯补贴
餐饮补贴
交通补贴
定期体检
年终奖金
绩效奖金",金融/投资/证券,,,国企  |  150-500人,,,,,
客服营销岗,招商信诺人寿保险有限公司,0.8-1万,成都·青羊区,大专,1年,,保险,,,合资  |  5000-10000人,,,,,
主动营销经理-华东区,喜临门家具股份有限公司,1-1.5万,绍兴·越城区,大专,2年,"培训
零售
数字营销
促销活动策划
社区营销
家具家电建材
五险一金
餐饮补贴
通讯补贴
交通补贴
绩效奖金
专业培训
定期体检",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
营销总监（智慧交通）,北京易华录信息技术股份有限公司,1.5-3万,大连·旅顺口区,本科,5-7年,"五险一金
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",交通/运输/物流,,,国企  |  1000-5000人,,,,,
营销储备干部,武汉盛大神农生物工程有限公司,6-7千,武汉·东湖新技术产业开发区,本科,1年,"销售
经销商管理
客情维护
农业
学生干部
客户拜访
服务
通讯补贴
交通补贴
餐饮补贴
绩效奖金
员工旅游
年终奖金
专业培训
五险一金",农/林/牧/渔,,,民营  |  50-150人,,,,,
服装品牌营销总监,宁波圣米格服饰有限公司,20-30万/年,宁波·鄞州区,,10年以上,"运营管理
品牌营销推广
市场开发管理
五险
节日福利
年终奖金",服装/纺织/皮革,,,民营  |  1000-5000人,,,,,
市场营销专员,欣邦（广州）生物科技有限公司,1.2-1.5万,广州·花都区,本科,1年,"收集市场信息
市场专员
调研报告
预测市场动态
五险一金
年终奖金
弹性工作
住房补贴
带薪身心假
员工生日会
社团活动
节日福利
生产分红
假期多多",制药/生物工程,,,民营  |  少于50人,,,,,
公司营销总经理,宁波德信工程管理有限公司,30-50万/年,宁波·鄞州区,大专,10年以上,"建筑业
宁波
***
分红
营销
五险一金
员工旅游
股票期权
年终奖金
定期体检
交通补贴
餐饮补贴",专业服务(咨询、人力资源、财会),,,民营  |  50-150人,,,,,
市场营销总监,武汉哈瑞医药有限公司,8千-1.5万,武汉·武汉经济开发区,本科,3-4年,"市场调研
市场营销
医药行业
市场推广
市场营销管理
市场推广计划
业务推进
危机公关
市场部
市场战略规划
交通补贴
员工旅游
通讯补贴
绩效奖金
定期体检
年终奖金
专业培训
餐饮补贴",医疗/护理/卫生,,,民营  |  50-150人,,,,,
渠道营销,华润雪花啤酒,8千-1万·13薪,南昌,本科,3-4年,"五险一金
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金
定期体检",快速消费品(食品、饮料、化妆品),,,国企  |  10000人以上,,,,,
西班牙语营销支持专员,湖北京山轻工机械股份有限公司,5-8千,武汉,大专,1年,"五险一金
周末双休
带薪年假",机械/设备/重工,,,已上市  |  1000-5000人,,,,,
营销大区总经理,兴三星云科技股份有限公司,50-100万/年,海宁,大专,8-9年,"五险一金
全勤奖
节日福利
加班补贴
住房补贴
弹性工作
餐饮补贴
通讯补贴",建筑/建材/工程,,,民营  |  1000-5000人,,,,,
营销专员(J12456),美宜佳控股有限公司,6-8千·13薪,东莞·南城区,本科,1年,"营销
方案策划
员工旅游
专业培训
带薪年假
年终奖金
节日福利
六险一金",批发/零售,,,民营  |  1000-5000人,,,,,
营销专员,中铁十二局集团建筑安装工程有限公司原平构件分公司,5千-1万,厦门·集美区,高中,2年,"补充医疗保险
交通补贴
餐饮补贴
定期体检
绩效奖金",建筑/建材/工程,,,国企  |  150-500人,,,,,
ktv营销,湖南三百六十度家居有限公司,1.6-3万,长沙·芙蓉区,中技/中专,1年,,物业管理/商业中心,,,民营  |  150-500人,,,,,
数字化营销岗,蓝星工程有限公司,1-1.5万,北京·顺义区,本科,5-7年,"五险一金
补充医疗保险
餐饮补贴
定期体检
绩效奖金
免费班车
专业培训",石油/化工/矿产/地质,,,国企  |  150-500人,,,,,
市场营销人员,上海九圣源中医门诊部有限公司,6千-1.2万,上海·闵行区,大专,1年,"五险一金
做五休二
带薪年假
绩效奖金
节日福利",医疗/护理/卫生,,,民营  |  少于50人,,,,,
互联网营销策划主管,邮乐金服（江苏）科技有限公司,1.2-2.4万,苏州·工业园区,本科,3-4年,"全额五险一金
专业培训
绩效奖金
定期体检",计算机软件,,,国企  |  150-500人,,,,,
华东大区营销/销售总监,广东格兰科技集团有限公司,2-4万,上海,本科,5-7年,"包三餐
全勤奖
工龄奖",建筑/建材/工程,,,民营  |  50-150人,,,,,
市场营销专员（家居公司）,珠海华发景龙建设有限公司,6-8千,珠海·香洲区,本科,1年,"销售策略
销售
市场调研
营销方案
推广方式
五险一金
补充医疗保险
补充公积金
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",建筑/建材/工程,,,国企  |  150-500人,,,,,
销售团队主管/营销团体主管,广州中广科技有限公司,20-30万/年,广州·白云区,,3-4年,"销售管理
住房补贴
节日福利
餐饮补贴
员工旅游
绩效奖金
PK奖金
提成制
月度超出分红
季度超出分红",机械/设备/重工,,,民营  |  150-500人,,,,,
品牌营销策划总监,成都耀华食品有限公司,1-1.4万,成都·青羊区,本科,3-4年,"五险
节日福利
生日福利
年终奖",快速消费品(食品、饮料、化妆品),,,民营  |  50-150人,,,,,
营销人员,内蒙古新鑫启程钢铁贸易有限公司,5千-1万,包头,中技/中专,5-7年,"五险一金
免费班车
专业培训
年终奖金
绩效奖金
销售
市场营销
工商管理
开拓市场
购销合同
销售谈判
商务谈判
货款追踪
服务",贸易/进出口,,,民营  |  50-150人,,,,,
营销精英（年薪25-30W）,重庆珈旭道路工程有限公司,25-30万/年,重庆·渝北区,本科,8-9年,"五险二金
周末双休
年终奖金
绩效奖金
股权
市场营销
工程项目销售
工程险
社会经验丰富
皮实
吃苦耐劳",建筑/建材/工程,,,民营  |  50-150人,,,,,
市场营销人员（五险/年终绩效）,云南义利达科技有限公司,6千-1.2万,昆明,大专,无需经验,"市场营销
销售
五险一金
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金",仪器仪表/工业自动化,,,民营  |  50-150人,,,,,
营销管理,广东三和化工科技有限公司,1.5-2万·13薪,中山,本科,5-7年,"五险一金
员工旅游
年终奖金
定期体检
免费住宿
工作餐
免费班车
带薪年假
包住宿
项目奖金",石油/化工/矿产/地质,,,已上市  |  1000-5000人,,,,,
投建营销经理（工作地点：江苏无锡）,特来电新能源股份有限公司,15-20万/年,无锡·梁溪区,大专,5-7年,"选址
充电设施投建
开拓市场
五险一金
餐饮补贴
通讯补贴
绩效奖金
交通补贴
年终奖金
节日福利",新能源,,,民营  |  1000-5000人,,,,,
市场营销总监,湖北唐缘生物医药科技有限公司,50-60万/年,武汉·硚口区,大专,5-7年,"五险一金
免费班车
员工旅游
交通补贴
年终奖金
绩效奖金
通讯补贴",制药/生物工程,,,民营  |  50-150人,,,,,
广东营销部市场专员,东营市一大早乳业有限公司,6千-1万,广州·白云区,大专,1年,"绩效奖金
五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
弹性工作
员工旅游",快速消费品(食品、饮料、化妆品),,,民营  |  500-1000人,,,,,
互联网SAAS软件营销顾问/各项福利,万商云集（西安）科技有限公司,0.8-1万,西安·雁塔区,大专,无需经验,"商务谈判
企业客户
品牌营销
线上推广
互联网软件
IT服务",互联网/电子商务,,,民营  |  1000-5000人,,,,,
营销专员,合肥浦发建设集团有限公司,4-7千·13薪,合肥·肥东县,大专,1年,"幕墙
市场开发
亮化
年终奖金
餐饮补贴
交通补贴",建筑/建材/工程,,,民营  |  150-500人,,,,,
国内营销管培生（23届毕业生）,广东志特新材料集团有限公司,5-7千,中山,大专,无需经验,"五险一金
餐饮补贴
通讯补贴
专业培训
年终奖金
油补",建筑/建材/工程,,,民营  |  1000-5000人,,,,,
营销经理,上海云族私募基金管理中心（有限合伙）,1-1.5万,深圳·南山区,大专,2年,"五险一金
补充医疗保险
绩效奖金
专业培训
年终奖金
股票期权",金融/投资/证券,,,民营  |  50-150人,,,,,
2305产品营销主管,贝亲管理（上海）有限公司,9千-1.3万·14薪,上海·徐汇区,本科,3-4年,"交通补贴
餐饮补贴
定期体检
商业保险
五险一金
通讯补贴",批发/零售,,,外资（非欧美）  |  150-500人,,,,,
市场营销经理（男装）,利华时尚服饰（深圳）有限公司,1-2万,深圳·龙华区,大专,5-7年,"服装
营销经理
营销总监
服装营销
市场营销
带薪年假
包住宿
五险一金
绩效奖金",服装/纺织/皮革,,,民营  |  500-1000人,,,,,
网络营销总监,意梓（上海）电子商务有限公司,30-60万/年,上海·静安区,本科,3-4年,"网络营销
管理
市场策略
出国机会
五险一金
员工旅游
通讯补贴",互联网/电子商务,,,外资（欧美）  |  50-150人,,,,,
海外营销副总监,广东公信智能会议股份有限公司,15-30万/年,佛山·顺德区,大专,3-4年,"管理
培训
项目管理
团队建设
大客户开发
客户管理
外贸销售管理
五险一金
员工旅游
餐饮补贴
专业培训
绩效奖金
年终奖金",电子技术/半导体/集成电路,,,已上市  |  150-500人,,,,,
市场/营销/拓展专员,上海贵达科技有限公司,6千-1.2万,上海·长宁区,大专,1年,"销售
市场营销
推广
营销
销售服务
开发客户资源
渠道拓展
做五休二
周末双休
五险一金
绩效奖金
节日福利
餐饮补贴",原材料和加工,,,  少于50人,,,,,
营销经理,江苏巨星铭创幕墙新材料有限公司,6-8千,常州·天宁区,大专,3-4年,"销售
铝板幕墙
营销
拓展
客户关系维护
业务洽谈
铝单板
蜂窝板
五险一金
补充医疗保险
员工旅游
专业培训
定期体检",建筑/建材/工程,,,创业公司  |  500-1000人,,,,,
渠道营销主任-POSM,维他奶有限公司,8千-1.6万·13薪,广州·天河区,本科,2年,"渠道营销
物料管理
快消行业
活动设计
活动策划
行销
通路
POSM
五险一金
年终奖金
专业培训
弹性工作
绩效奖金
上市公司",快速消费品(食品、饮料、化妆品),,,外资（非欧美）  |  1000-5000人,,,,,
市场营销副总监,安吉天使小镇乐园有限公司,30-40万/年,湖州,大专,5-7年,"弹性工作
五险一金
节日福利
餐饮补贴
带薪年假
做五休二
高温补贴
免费班车",酒店/旅游,,,民营  |  500-1000人,,,,,
营销总经理（华北）,深圳市朗坤环境集团股份有限公司,2.5-4万,北京·通州区,本科,10年以上,"管理
市场营销
项目管理",环保,,,民营  |  1000-5000人,,,,,
营销专员,成都高新区社事投资发展有限公司,5-7千,成都·武侯区,本科,2年,"推广
市场推广
市场渠道拓展
市场营销学
五险一金
定期体检
餐饮补贴",政府/公共事业,,,国企  |  50-150人,,,,,
营销策划,河南财和食用菌交易市场有限公司郑州分公司,6-8千,南阳,本科,2年,"活动策划
创意
五险一金
定期体检",多元化业务集团公司,,,国企  |  50-150人,,,,,
营销总监,航天宏图信息技术股份有限公司,1-2万,南宁·青秀区,大专,5-7年,"导航
遥感
开拓市场
商务洽谈
水利
农业
软件产品
政府行业
销售
开发新客户
五险一金
交通补贴
餐饮补贴
绩效奖金
年终奖金
一对一帮传带
多通道晋升
专业培训",计算机软件,,,已上市  |  1000-5000人,,,,,
医美营销运营总监,深圳市展行生物有限公司,2-4万,深圳·盐田区,本科,3-4年,"五险一金
弹性工作",制药/生物工程,,,民营  |  少于50人,,,,,
市场营销专员,深圳佰视佳眼科门诊部,8千-1.5万,深圳·罗湖区,高中,1年,"五险一金
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
员工旅游
节日福利",医疗/护理/卫生,,,民营  |  50-150人,,,,,
营销推广经理,保腾网络科技有限公司,8千-1.2万·13薪,深圳·福田区,大专,3-4年,"地推
销售
销售代表
渠道销售
直销销售
业务员
客户代表
网络销售
车险
专业培训
绩效奖金
年终奖金
定期体检
五险一金",互联网/电子商务,,,民营  |  150-500人,,,,,
市场营销/拓展经理/销售经理,泉州市新华美悦贸易有限公司,1-2万,泉州·晋江市,,2年,"市场经理
销售经理
客户经理
销售代表
市场营销经理
业务拓展经理
市场开发经理
弹性工作
绩效奖金
全勤奖
节日福利
专业培训
交通补贴
餐饮补贴
加班补贴
通讯补贴
医社保",美容/保健,,,民营  |  少于50人,,,,,
营销专员,佛山市科源达环保污水处理有限公司,6千-1万,佛山·南海区,大专,1年,"营销
五险一金
员工旅游
专业培训
绩效奖金
年终奖金
定期体检",环保,,,民营  |  50-150人,,,,,
品牌营销专员,杭州研一智控科技有限公司,8千-1.2万·14薪,杭州·钱塘区,大专,2年,"市场营销
推广
品牌宣传
广告
宣传册
文案编辑
市场宣传推广
软文编辑
文案功底
文案编辑策划
五险一金
员工旅游
定期体检
年终奖金
周末双休",计算机服务(系统、数据服务、维修),,,民营  |  50-150人,,,,,
新营销，底薪6.4K起+导师带教,深圳市乐有家控股集团有限公司,7千-1.3万,广州·番禺区,大专,无需经验,"提供住宿
五险一金
专业培训
绩效奖金
新营销
接待上门客
咨询方案
微信推广
商务谈判
跟进磋商
签约售后
管理会议",房地产,,,民营  |  10000人以上,,,,,
营销主管,广发银行股份有限公司信用卡中心,1.2-2万,深圳·龙岗区,大专,3-4年,"管理
招聘
辅导
周末双休
带薪年假
节日福利
专业培训
高温补贴
营销竞赛奖
绩效奖金
五险一金
餐饮补贴
年终奖金",银行,,,国企  |  10000人以上,,,,,
