职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,,规模类型,地区,*n薪,薪酬_n,月薪最小值,月薪最大值
市场营销专员,苏州群光文化传播有限公司,1-1.5万,苏州·吴江区,大专,2年,"销售
渠道销售
客户代表
电话销售
销售代表
直销销售
业务员
做五休二
周末双休
带薪年假
专业培训
补充医疗保险
员工旅游
绩效奖金
年终奖金",娱乐/休闲/体育,,,民营  |  50-150人,,,,,
市场营销拓展专员,厦门妮彩时尚教育咨询有限公司,4-8千,厦门,大专,3-4年,"销售
市场拓展
市场开发
五险一金
交通补贴
通讯补贴
专业培训
绩效奖金
年终奖金
节日福利
生日福利
全勤奖",教育/培训/院校,,,民营  |  少于50人,,,,,
营销总监,航天宏图信息技术股份有限公司,1-2万,巴彦淖尔,大专,5-7年,"销售
导航
遥感
开拓市场
农业
商务洽谈
水利
政府行业
软件产品
合同签订
五险一金
交通补贴
餐饮补贴
绩效奖金
年终奖金
一对一帮传带
多通道晋升
专业培训",计算机软件,,,已上市  |  1000-5000人,,,,,
销售助理/专员/市场营销（底薪4100+提成）,广州智联房地产有限公司,6千-1.2万,广州·天河区,,无需经验,"五险一金
员工旅游
通讯补贴
年会
生日会
部门聚餐",房地产,,,民营  |  150-500人,,,,,
营销内勤,卡盼尼（北京）宠物科技有限公司,5-6千,北京·海淀区,大专,2年,"仓库管理
合作签订
客户管理
物流
五险一金
定期体检
补充公积金
员工旅游
餐饮补贴
通讯补贴
年终奖金",农/林/牧/渔,,,民营  |  少于50人,,,,,
市场营销专员,上海拉迷家具有限公司,1-1.5万,上海·嘉定区,大专,1年,"市场营销
活动策划
活动落地
测量
节日福利
交通补贴
租房补贴
五险一金
带薪培训",家具/家电/玩具/礼品,,,民营  |  500-1000人,,,,,
新零售营销总监,江苏喜上喜食品有限公司,1.8-2.5万,南通·海安市,大专,5-7年,五险一金,快速消费品(食品、饮料、化妆品),,,民营  |  少于50人,,,,,
营销总监,航天宏图信息技术股份有限公司,1-2万,大理,大专,5-7年,"导航
遥感
开拓市场
农业
商务洽谈
水利
软件产品
政府行业
合同签订
销售
五险一金
交通补贴
餐饮补贴
绩效奖金
年终奖金
一对一帮传带
多通道晋升
专业培训",计算机软件,,,已上市  |  1000-5000人,,,,,
铝压铸营销副总（六安）,福然德股份有限公司,40-80万/年,合肥·肥西县,本科,10年以上,"总经理
副总经理
副总
总监
结构件
铝压铸
底盘
销售总监
周末双休
节日福利
绩效奖金
带薪年假
五险一金",汽车,,,已上市  |  500-1000人,,,,,
营销渠道专员（五险+高底薪+高提成）建材销售,云南芳华家居软装设计有限公司,8千-1.5万,昆明·西山区,大专,3-4年,"营销
销售
市场
专员
渠道
家居
装修
全屋定制
带薪年假
绩效奖金
节日福利
专业培训
五险
出国旅游
市场最高提成
生日福利",家居/室内设计/装潢,,,民营  |  少于50人,,,,,
新零售营销总监,江苏喜上喜食品有限公司,1.8-2.5万,南通·海安市,大专,5-7年,五险一金,快速消费品(食品、饮料、化妆品),,,民营  |  少于50人,,,,,
总经理（有机肥营销）,四川嘉道博文生态科技有限公司,1.5-2.5万·13薪,成都·蒲江县,本科,10年以上,"土壤改良
有机肥
市场营销
五险一金
餐饮补贴
通讯补贴
绩效奖金
年终奖金
节日福利
带薪年假
周末双休",环保,,,民营  |  150-500人,,,,,
广州聘营销实习/可开实习证明,深圳市乐有家控股集团有限公司,6.4-8千,广州·海珠区,大专,无需经验,"管理
营销
置业
置业顾问
营销管培
市场营销
营销管培生
五险一金
员工旅游
专业培训
绩效奖金
导师带教
提供住宿",房地产,,,民营  |  10000人以上,,,,,
营销总监,天朗伟业控股集团有限公司,1.2-2万·14薪,西安·莲湖区,大专,3-4年,"公司规模大
发展空间大
五险一金
带薪年假
交通补助
午餐补助
绩效奖金
管理规范
领导好
扁平管理",多元化业务集团公司,,,民营  |  1000-5000人,,,,,
新零售营销总监,江苏喜上喜食品有限公司,1.8-2.5万,南通·海安市,大专,5-7年,五险一金,快速消费品(食品、饮料、化妆品),,,民营  |  少于50人,,,,,
营销总监,深圳市中创鑫和科技有限公司,1-2万·13薪,深圳·宝安区,大专,10年以上,"营销总监
业务总监
销售总监
销售
客户关系
市场营销
销售计划
市场开拓
市场战略
市场营销管理
五险一金
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检
交通补贴
员工旅游
弹性工作
周末双休",通信/电信/网络设备,,,民营  |  50-150人,,,,,
营销专员,润城新产业（深圳）有限公司,8千-1.2万,深圳,本科,1年,,房地产,,,合资  |  150-500人,,,,,
营销文案策划,深圳市一骑绝尘服饰有限公司,1.5-2万,深圳·南山区,本科,3-4年,"市场营销
营销
营销策划
天猫
事件营销
详情页优化
热点营销
销售
带薪年假
五险一金
全勤奖
节日福利
加班补贴
交通补贴
员工旅游
绩效奖金
下午茶",互联网/电子商务,,,民营  |  150-500人,,,,,
市场/营销/拓展专员,武汉硕泽建设有限公司,4-6千,武汉·江汉区,大专,1年,"周末双休
节日福利
弹性工作
绩效奖金
专业培训
业务提成",建筑/建材/工程,,,民营  |  少于50人,,,,,
营销主管,佛山市泽森林科技有限公司,1.1-2.2万·13薪,佛山·南海区,,3-4年,"团队管理经验
制定方案
业绩目标
完善机制
调研
沟通能力
统筹管理
创业机会
下午茶
节假日礼品
员工旅游
绩效奖金
专业培训
定期体检
股票期权
年终奖金
五险",互联网/电子商务,,,民营  |  50-150人,,,,,
营销管培生/7.5K起/无经验要求,深圳市乐有家控股集团有限公司,7.5千-1.3万,深圳·福田区,大专,无需经验,"五险一金
餐饮补贴
绩效奖金
专业培训
员工旅游
午休+晚休
年假
节日关怀礼
买卖
接待客户
房屋咨询
租赁服务",房地产,,,民营  |  10000人以上,,,,,
