职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型,地区,*n薪,最低年薪,最高年薪,薪酬_n,月薪最小值,月薪最大值
供应链产品专员,四川华景国贸实业有限责任公司,6-8千·13薪,成都,本科,2年经验,供应商开发,贸易/进出口,【职位描述】：1、分析市场产品需求，结合行业发展趋势，规划和定义公司产品线，完成产品规划、用户需求定义、产品功能及交互设计等一系列产品完整生命周期管理工作；2、研究及落实涉及产品合规性的国际、国家及业界法规、政策及相关标准，准备相关合规文件；满足产品在设计、生产、销售各环节中的合规需要；3、开展供应商及供应渠道的开发与管理，处理供应链日常业务问题，包括与公司采购、生产、物流、仓库、运营对接及协调工作，保障公司货物及时交付；4、根据公司销售情况和订单情况制定备货和生产计划；同时负责公司货物在第三方仓库管理，包括入库、盘点、处置、退回；5、参与产品改善，分析用户行为数据、产品使用数据及用户需求反馈，为提升用户体验、产品迭代升级、提升产品市场接受度等提供数据支持；6、公司领导交办的其他工作。【任职要求】：1、25-35岁；国内统招本科或经教育部留学服务中心认证的国外（美、英、加、澳、新西兰）大学本科或以上学历，学士学位及以上；供应链类、物流类、管理类及国际经济与贸易等相关专业（国外大学无专业类别要求）；英语CET6及以上或良好的IELTS、TOEFL、EFL、ESL成绩；2、形象良好，较强的英语听、说、读、写能力及普通话标准流利；3、两年以上供应链产品管理经验；有较为完善的产品规划方法和经验，有参与从产品策划到交付全过程成功项目案例经验；熟悉生产管理、跟单管理、审核评估等环节；熟悉供应商管理经验和采购运作流程；4、良好的逻辑思维与分析、数据统计分析和行业分析能力；较强的沟通协调、供方谈判和抗压能力；高度的责任感和稳定的职业规划；工作细致主动、善于思考，具备团队协作精神。,民营  |  50-150人,成都,13,,,6000-8000,6000,8000
嘉兴大型化工企业供应链总监,临诺企业管理咨询（上海）有限公司,5-8万,上海-虹口区,本科,10年以上经验,六险一金,专业服务(咨询、人力资源、财会),岗位职责：1、负责组织制定供应链战略规划，建立完善有效的管理流程和执行规范；2、负责组织供应链部门人员开展工作，监督和控制进度，按时保质完成企业的供应链任务；3、负责优化供应链管理团队，进行人员管理、绩效管理、流程管理；4、负责公司各产品板块的专属客户服务、计划、物流仓库管理、数据管理平台。任职资格：1、38-45岁，***本科以上学历，化工、贸易、物流相关专业；2、化工制造业相关背景，10年以上供应链工作经验，其中8年以上供应链管理工作经验，熟悉供应链发展规划；3、熟悉化工生产制造和销售流程，具备优秀的商务谈判能力、数据分析能力、决策判断能力和危机处理能力；4、具备优秀的团队管理能力、统筹能力，能高效达成团队目标。,民营  ,上海,,,,50000-80000,50000,80000
迪卡侬物流供应链管培生--湖北武汉,迪卡侬仓储配送,7千-1.2万,武汉,本科,无需经验,迪卡侬仓储配送,交通/运输/物流,岗位职责:职位描述迪卡侬中国区物流供应链管培生，每一位新人都有全面定制的入职成长计划，通过个人的快速学习，在全面掌握物流基础技能的同时，学习和实践团队管理，自主管理一个团队，招募和培养自己的团队成员，带领团队高效精准地完成全渠道订单，持续学习改进，推动自动化仓储的数字化进程。职责范围--自主管理10人团队，招募和培养自己的团队成员；--使用系统数据分析管理团队KPI，高效精准地完成全渠道订单；--持续学习并掌握自动化仓储的流程和系统，使用系统大数据持续改善优化流程。任职要求:本科及以上学历，有海外留学或工作经验者优先；物流、供应链、工业工程相关专业，AI技术和数据分析专业优先；积极主动的的交流沟通能力，流利的英语口语和书写能力；快速学习新知识和不断提升自我的能力。培养发展--量身定制的供应链全方位培训发展体系；--清晰的内部晋升空间【物流供应链管培生（10人团队）=>仓库负责人（60-100人团队）=>园区负责人（200-350人团队）】--全产业链多元化工作机会【物流项目组/供应链采购/零售/电子商务/其他服务部门等】,外资（欧美）  |  500-1000人,武汉,,,,7000-12000,7000,12000
供应链总监,广东豪美新材股份有限公司,2.5-3万,清远,本科,5-7年经验,五险一金,机械/设备/重工,工作职责：1、负责建立健全供应链管理体系，包括生产计划、采购、品质管理、仓储物流等，完善供应链管理流程和制度，提升和改进供应链绩效；2、负责销售需求、供应链与订单履行环节的流程建立及有效运作以及相关管理工作，提高供应链响应速度和客户满意度；3、开发供应商，考核、提升供应商的履约能力，监管重点和大宗采购项目的谈判、签约及执行；4、开发合作工厂，监管生产流程及品质把控，总结输出成熟的生产技术及工艺技术管理模式；5、优化控制库存，提高库存周转率，降低呆滞风险，长期持续优化成本；6、通过目标管理，绩效管理，有效激励，业务培训，员工发展和组织优化，建设高绩效供应链团队。任职要求：1、大学本科或以上学历，5年以上的供应链相关岗位工作经验，至少1年供应链经理或高级经理工作经验；2、熟悉供应链的整体操作，具有较强的数据分析能力、统筹规划能力和沟通协调能力，有成功推进供应链项目管理的经验；3、诚实守信，具备较强的沟通协调能力和抗压能力，具备良好的客户服务意识和团队协作能力，具备团队建设和管理经验。,已上市  |  1000-5000人,清远,,,,25000-30000,25000,30000
供应链管理,宁波施捷电子有限公司,1.2-1.6万,宁波-北仑区,本科,3-4年经验,采购,电子技术/半导体/集成电路,"1.	负责供应链系统运作，优化采购、仓储、物流等工作流程。2.	健全供应链系统，执行供应商开发、维护、评估体系，合理控制采购成本，与相关部门对供应商进行审核、评价和管理；3.	负责生产、研发所需物资的采购、商务谈判；4负责物料到料计划的追踪及账款的核销5.	信息的搜集、分析、汇总及评估供应商信息和物流信息；7.	协助物料品质异常的处理工作，及对采购物料办理退换货；8.	按工作流程，协调与财务、销售、研发等部门的横向联系。岗位要求：1.本科以上学历，同岗位3年以上工作经验；2.	具备采购管理、熟悉ERP系统知识，熟练应用Office办公软件；3.有半导体制造/封装行业经验优先；4.	具备良好的交流、沟通、协调能力；较好的逻辑思维、数据分析处理能力；高科技公司,丰富的人才政策，国际大咖带队，良好的工作氛围及晋升通道，福利齐全，每年多次调薪，股权激励，欢迎有意愿者及技术达人面谈交流，(行业特别优异者面聊）。",合资  |  150-500人,宁波,,,,12000-16000,12000,16000
迪卡侬物流供应链管培生--北京燕郊,迪卡侬仓储配送,1-1.5万,廊坊,本科,无需经验,迪卡侬仓储配送,交通/运输/物流,岗位职责:迪卡侬中国区物流供应链管培生，每一位新人都有全面定制的入职成长计划，通过个人的快速学习，在全面掌握物流基础技能的同时，学习和实践团队管理，自主管理一个团队，招募和培养自己的团队成员，带领团队高效精准地完成全渠道订单，持续学习改进，推动自动化仓储的数字化进程。职责范围自主管理10人团队，招募和培养自己的团队成员；使用系统数据分析管理团队KPI，高效精准地完成全渠道订单；持续学习并掌握自动化仓储的流程和系统，使用系统大数据持续改善优化流程。任职要求:本科及以上学历，有海外留学或工作经验者优先；物流、供应链、工业工程相关专业，AI技术和数据分析专业优先；积极主动的的交流沟通能力，流利的英语口语和书写能力；快速学习新知识和不断提升自我的能力。培养发展量身定制的供应链全方位培训发展体系；清晰的内部晋升空间【物流供应链管培生（10人团队）=>仓库负责人（60-100人团队）=>园区负责人（200-350人团队）】全产业链多元化工作机会【物流项目组/供应链采购/零售/电子商务/其他服务部门等】,外资（欧美）  |  500-1000人,廊坊,,,,10000-15000,10000,15000
供应链总监,广东豪美新材股份有限公司,2.5-3万,清远,本科,5-7年经验,五险一金,机械/设备/重工,工作职责：1、负责建立健全供应链管理体系，包括生产计划、采购、品质管理、仓储物流等，完善供应链管理流程和制度，提升和改进供应链绩效；2、负责销售需求、供应链与订单履行环节的流程建立及有效运作以及相关管理工作，提高供应链响应速度和客户满意度；3、开发供应商，考核、提升供应商的履约能力，监管重点和大宗采购项目的谈判、签约及执行；4、开发合作工厂，监管生产流程及品质把控，总结输出成熟的生产技术及工艺技术管理模式；5、优化控制库存，提高库存周转率，降低呆滞风险，长期持续优化成本；6、通过目标管理，绩效管理，有效激励，业务培训，员工发展和组织优化，建设高绩效供应链团队。任职要求：1、大学本科或以上学历，5年以上的供应链相关岗位工作经验，至少1年供应链经理或高级经理工作经验；2、熟悉供应链的整体操作，具有较强的数据分析能力、统筹规划能力和沟通协调能力，有成功推进供应链项目管理的经验；3、诚实守信，具备较强的沟通协调能力和抗压能力，具备良好的客户服务意识和团队协作能力，具备团队建设和管理经验。,已上市  |  1000-5000人,清远,,,,25000-30000,25000,30000
供应链总监,杭州际格企业管理咨询有限公司,3-4万,杭州,大专,5-7年经验,杭州际格企业管理咨询有限公司,快速消费品(食品、饮料、化妆品),熟悉开发采购，生产，仓储，品控四个模块，有团队管理经验，熟悉服装行业从事过大型服装行业供应链方向优先。学历大专以上。,合资  |  少于50人,杭州,,,,30000-40000,30000,40000
供应链副总监,珠海市钛芯动力科技有限公司,1.5-2万·13薪,珠海-香洲区,大专,3-4年经验,五险一金,互联网/电子商务,"岗位职责：1、根据公司销售预测和销售订单，制定并执行公司供应链计划，管理供应链，达到快速反应、成本控制、产品交期及质量等方面的要求；2、建立和健全供应商的议价、谈判、开发、维护、评估、管理流程体系;3、规划采购预算，控制采购成本，建立对供应商的下游的评估体系，能够实时掌握供应商的真实成本，不断优化采购成本；4、建立科学合理的库存体系；建立供应商监控体系，缩短供应商的交货期；5、负责统筹安排整个供应链系统的运营，降低产品、物流、仓储环节的运作成本；6、不断完善公司供应链工作流程和制度，做好供应链团队管理工作。任职要求：1、大专及以上学历，8年以上供应链从业经验，3年以上同岗位管理工作经验；2、精通供应链体系建设，对供应商开发管理、采购管理有较深刻的理解，熟悉相关质量评估体系；3、具备优秀的分析、沟通、协调、谈判能力和敏锐市场洞察力，具有系统的成本意识；4、具备良好的团队管理能力，工作积极主动，条理清晰,具备高度的责任心及良好的职业素养。",民营  |  150-500人,珠海,13,,,15000-20000,15000,20000
供应链总监,中山市联昌喷雾泵有限公司,1.8-2万,中山,大专,5-7年经验,带薪年假,原材料和加工,1、根据公司发展战略，组织制定并实施供应链战略计划。2、全面负责供应链运作管理，建立供应链体系流程优化管理体系，提升运作效率并降低成本，具备资源规划和整合的能力。3、供应商的开发、维护、跟踪合理控制采购及运输成本。4、优化完善供应链系统，统筹订单预测、实施监控和管理。5、优化工作流程，提高与采购、计划、仓储等横向部门的沟通效率。6、负责组织和建立供应链团队，并对团队进行管理、培训、考核、团队制度建设等各方面工作的安排。,民营  |  1000-5000人,中山,,,,18000-20000,18000,20000
供应链经理,深圳亿泽创新技术有限公司,1.3-2.5万,深圳-龙岗区,本科,3-4年经验,五险一金,互联网/电子商务,岗位职责：1、根据公司发展战略与年度经营计划，全面统筹供应链中心工作，组织制定并实施供应链战略规划；2、负责部门内部管理，标准化建设(体系、制度、流程、岗位职责、人才梯队培育等)；3、负责公司产品规划/采购、供应商维护，拟定产品定价策略；4.、负责根据亚马逊电商平台销售计划需求指导开展采购、物流调拨、发货等管理工作，分析管控销售进度、销售库存，提高电商产品库存周转率；5、负责公司产品的库存管控，规划统筹公司的货品周转，确保产品周转效率。任职资格：1、本科及以上学历，3-5年以上消费电子类产品供应链管理相关领域工作经验；2、具备专业供应链管理知识和技能，熟悉北美、欧洲市场；3、具备良好的执行能力，逻辑思维强，出色的沟通协调能力及谈判能力；4、具备较强的成本分析及管控能力。公司介绍：亿泽创新（前身前海亿泽）至今已成立10年有余，是一家集产品研发、开发、销售一体的跨境电商公司。公司拥有独立自主品牌及多个美国和欧盟商标、专利，坚持走精品路线，以精细化运营打造爆款及品牌，凭借多年电商运作的优势，每年都在快速稳步增长中，公司致力把中国优质供应链产品通过Amazon跨境平台销向全球！公司座落在坂田云里智能产业园，办公面积1200㎡，最近的坂田地铁站D出口步行2-3分钟即到，地铁和公交都非常方便。福利待遇：（1）薪资福利：拥有高于行业平均水平的薪酬体系；（2）调薪政策：每年1-2次的调薪机会；（3）发展空间：提供完善的晋升及带教机制，扁平化管理，以结果为导向；（4）五险一金：入职即买；（5）工龄奖：工作满一年享有，逐年递增；（6）带薪休假：享受国家规定假期（法定节假日、婚假、产假等）、工作满一年员工享有5天带薪年假，并以阶梯式递增；（7）文娱生活：公司定期组织各种文娱活动，部门经费和全员性省内外旅游；（8）其它福利：每周丰富的下午茶、每月生日会、传统节日福利、生日福利、能量补给站；公司设有能量补给站，种类丰富，为努力的伙伴补充能量；公司有微波炉、冰箱、咖啡机等为有需要的伙伴提供便利；每天下午16:00-16:15为工间休息时间，伙伴们可自由点歌；公司设有休闲区，工作之余来一场台球/乒乓球？等你来PK！更多福利正在筹备中......,民营  |  50-150人,深圳,,,,13000-25000,13000,25000
产品经理（供应链） (MJ005741),正泰安能数字能源（浙江）股份有限公司,1.2-2万·14薪,杭州-滨江区,本科,3-4年经验,wms,新能源,岗位职责：1、参与集成供应链领域信息化建设工作。负责项目类立项调研、需求分析、方案实现、实施培训等各类工作；2、具体负责供应商领域（SRM、QMS、TMS、WMS、ERP等）各类信息化系统的建设运营工作；3、深入了解供应链业务，发掘业务痛点。借助信息化工具，解决业务问题，赋能业务增长；任职要求：1、本科及以上学历，计算机类、信息管理类等专业优先，优秀者不限；2、3年及以上工作经验，生产制造、贸易物流、电商等供应链信息化相关工作经历优先，工作经验中需至少两年供应链领域信息化履历。乙方、甲方经验不限；3、了解项目管理基本知识，具有项目进度、需求范围、风险管理等具体实践；4、了解软件开发基本流程，有产品经理经验更佳；5、具备主人翁意识，主动积极，双赢思维，执行力强。能够独立思考，快速严谨提供解决方案。,民营  |  500-1000人,杭州,14,,,12000-20000,12000,20000
抖音电商 - 数据分析师（物流&amp;供应链分析）,字节跳动,2-4万,上海,本科,无需经验,股票期权,互联网/电子商务,职位描述：1、负责搭建字节电商物流&供应链数据分析体系，包括日、周、月报等周期报表，对物流履约时效进行监控；2、从用户体验、商家成本、快递商配送时效等不同视角，深入分析并推动落地，帮助平台持续提升物流履约时效及客户体验；3、参与物流&供应链中台等系统建设，沉淀方法论落地到对内/对外数据产品。职位要求：1、本科及以上学历，数据、统计学、计算机、供应链与物流等相关专业优先；2、1-5年以上数据分析经验，物流&供应链分析经历优先；3、熟练掌握sql、office等软件；4、较强的学习能力和执行力，逻辑清晰，善于表达自己观点并推动落地。,民营  |  10000人以上,上海,,,,20000-40000,20000,40000
物流供应链产品经理,宁波齐物贸易有限公司,1.5-2.5万,宁波-鄞州区,大专,3-4年经验,双休,贸易/进出口,岗位职责：1、负责国内外物流供应链产品规划、设计与研发、产品上市与运营，从全链路角度管理成本、时效与服务水平，制定产品实现路径规划，高效协同内外合作方，推动解决方案落地，持续优化。2、监控物流产品质量，确保物流产品符合设计要求，保持市场竞争力。3、持续关注行业发展及竞争对手动态，深入理解市场需求，识别风险和机会，根据内外部市场需求对现有物流产品提出改善和优化建议，抽象问题并发起具体项目。任职要求：1、物流管理、国际贸易等相关专业优先；2、三年以上物流公司相关工作经验，熟悉跨境电商物流体系，了解行业头部企业的运营模式；3、具有物流产品设计经验，对国内外物流全链路流程有较深刻理解；4、具有较强的数据化分析能力，有效支持业务决策；5、具备较强的沟通能力和项目管理能力；6、有激情，客户意识强；具有开拓、创新精神，能承受压力，喜欢有挑战性的工作；能持续学习和成长。固定薪资+项目奖级+年终,民营  |  50-150人,宁波,,,,15000-25000,15000,25000
